NID,Count
273,54
1867,28
1875,24
158,22
1384,22
1523,22
1697,22
234,21
696,21
792,21
1561,21
2165,21
1548,20
1554,20
1560,20
1686,20
1976,20
667,19
1489,19
1501,19
74,18
606,18
865,18
1148,18
1556,18
1566,18
1799,18
274,17
355,17
681,17
1546,17
1549,17
1694,17
1715,17
683,16
1541,16
1567,16
1660,16
1720,16
1721,16
1921,16
2182,16
23,15
56,15
278,15
340,15
668,15
717,15
770,15
793,15
871,15
1533,15
1535,15
1551,15
380,14
585,14
690,14
741,14
791,14
868,14
883,14
1028,14
1521,14
1527,14
1540,14
1559,14
1563,14
1857,14
1885,14
1971,14
1985,14
105,13
330,13
360,13
455,13
478,13
487,13
537,13
543,13
560,13
788,13
995,13
1499,13
1508,13
1539,13
1550,13
1555,13
1640,13
1859,13
2014,13
124,12
329,12
338,12
347,12
352,12
624,12
628,12
726,12
769,12
839,12
1488,12
1492,12
1513,12
1528,12
1534,12
1558,12
1655,12
1659,12
1846,12
1856,12
1876,12
157,11
328,11
348,11
489,11
544,11
615,11
643,11
652,11
718,11
768,11
776,11
785,11
1121,11
1158,11
1210,11
1375,11
1497,11
1504,11
1507,11
1552,11
1562,11
1639,11
1717,11
1868,11
1882,11
60,10
100,10
146,10
294,10
310,10
361,10
502,10
533,10
576,10
645,10
649,10
674,10
727,10
786,10
789,10
790,10
824,10
860,10
896,10
899,10
950,10
1151,10
1485,10
1498,10
1502,10
1503,10
1526,10
1537,10
1547,10
1564,10
1623,10
1638,10
1674,10
1702,10
1718,10
1860,10
1863,10
1865,10
1872,10
1932,10
2094,10
49,9
112,9
135,9
166,9
172,9
377,9
457,9
471,9
535,9
609,9
648,9
675,9
716,9
795,9
796,9
803,9
844,9
893,9
992,9
1175,9
1382,9
1494,9
1495,9
1500,9
1514,9
1519,9
1532,9
1910,9
2166,9
2169,9
27,8
42,8
63,8
132,8
156,8
298,8
299,8
341,8
465,8
485,8
492,8
493,8
650,8
691,8
697,8
891,8
953,8
1157,8
1515,8
1545,8
1635,8
1651,8
1675,8
1861,8
1869,8
1881,8
1887,8
30,7
72,7
161,7
184,7
275,7
282,7
304,7
314,7
316,7
322,7
333,7
343,7
344,7
378,7
381,7
460,7
484,7
504,7
521,7
575,7
604,7
607,7
612,7
620,7
622,7
670,7
680,7
724,7
738,7
777,7
780,7
781,7
881,7
935,7
1042,7
1048,7
1051,7
1177,7
1269,7
1487,7
1496,7
1512,7
1591,7
1624,7
1626,7
1632,7
1815,7
1826,7
1871,7
1880,7
1893,7
1959,7
1995,7
2130,7
8,6
9,6
13,6
29,6
46,6
189,6
241,6
297,6
353,6
354,6
356,6
358,6
365,6
376,6
384,6
390,6
391,6
442,6
452,6
470,6
527,6
542,6
613,6
619,6
644,6
651,6
657,6
677,6
682,6
692,6
701,6
721,6
737,6
740,6
747,6
773,6
775,6
778,6
784,6
801,6
833,6
880,6
1052,6
1146,6
1150,6
1178,6
1206,6
1228,6
1275,6
1376,6
1386,6
1398,6
1493,6
1506,6
1510,6
1511,6
1518,6
1553,6
1704,6
1810,6
1818,6
1820,6
1840,6
1866,6
1874,6
1944,6
1946,6
1947,6
2006,6
2011,6
2015,6
2023,6
2039,6
2128,6
4,5
19,5
22,5
38,5
47,5
53,5
55,5
79,5
90,5
92,5
131,5
138,5
148,5
210,5
277,5
285,5
293,5
296,5
300,5
320,5
331,5
357,5
362,5
363,5
375,5
379,5
385,5
386,5
405,5
458,5
468,5
477,5
483,5
507,5
564,5
610,5
642,5
655,5
659,5
678,5
679,5
688,5
728,5
739,5
772,5
783,5
805,5
822,5
825,5
923,5
924,5
926,5
959,5
984,5
985,5
987,5
1012,5
1034,5
1037,5
1046,5
1060,5
1065,5
1103,5
1107,5
1140,5
1142,5
1159,5
1161,5
1169,5
1179,5
1229,5
1380,5
1450,5
1505,5
1516,5
1520,5
1612,5
1620,5
1625,5
1676,5
1719,5
1785,5
1824,5
1904,5
1934,5
1935,5
1938,5
1939,5
1942,5
1958,5
1967,5
2034,5
2098,5
2167,5
14,4
17,4
18,4
28,4
31,4
48,4
51,4
54,4
68,4
73,4
78,4
127,4
128,4
167,4
276,4
287,4
288,4
306,4
318,4
336,4
339,4
342,4
351,4
364,4
372,4
374,4
382,4
387,4
393,4
407,4
447,4
454,4
463,4
473,4
486,4
495,4
497,4
500,4
503,4
508,4
614,4
616,4
646,4
653,4
654,4
666,4
671,4
684,4
693,4
706,4
719,4
722,4
735,4
736,4
742,4
743,4
745,4
771,4
787,4
798,4
812,4
821,4
862,4
870,4
876,4
882,4
892,4
933,4
934,4
939,4
982,4
990,4
999,4
1027,4
1047,4
1050,4
1054,4
1057,4
1143,4
1144,4
1173,4
1217,4
1243,4
1264,4
1270,4
1271,4
1285,4
1357,4
1385,4
1408,4
1484,4
1490,4
1509,4
1530,4
1542,4
1621,4
1627,4
1628,4
1681,4
1689,4
1722,4
1723,4
1817,4
1834,4
1862,4
1864,4
1877,4
1883,4
1936,4
1937,4
1949,4
1952,4
1960,4
1962,4
1964,4
1990,4
1998,4
2013,4
2024,4
2028,4
2040,4
2044,4
2054,4
2096,4
2105,4
2129,4
2168,4
2177,4
2181,4
1,3
20,3
24,3
80,3
83,3
86,3
98,3
117,3
238,3
281,3
283,3
289,3
290,3
291,3
301,3
305,3
308,3
315,3
317,3
326,3
334,3
346,3
350,3
368,3
369,3
394,3
395,3
398,3
404,3
410,3
411,3
462,3
464,3
467,3
479,3
480,3
481,3
496,3
505,3
513,3
528,3
536,3
546,3
547,3
621,3
623,3
625,3
629,3
640,3
672,3
676,3
687,3
715,3
720,3
725,3
730,3
733,3
734,3
779,3
782,3
799,3
800,3
804,3
823,3
828,3
829,3
831,3
832,3
834,3
835,3
879,3
890,3
897,3
903,3
925,3
927,3
951,3
963,3
981,3
1031,3
1036,3
1043,3
1044,3
1056,3
1058,3
1059,3
1104,3
1108,3
1128,3
1135,3
1137,3
1149,3
1154,3
1190,3
1214,3
1272,3
1276,3
1278,3
1283,3
1356,3
1377,3
1391,3
1435,3
1439,3
1478,3
1486,3
1522,3
1524,3
1529,3
1538,3
1557,3
1616,3
1641,3
1643,3
1644,3
1646,3
1652,3
1654,3
1656,3
1657,3
1673,3
1678,3
1698,3
1699,3
1768,3
1769,3
1770,3
1802,3
1803,3
1804,3
1816,3
1819,3
1823,3
1828,3
1839,3
1873,3
1884,3
1892,3
1928,3
1940,3
1950,3
1951,3
1953,3
1954,3
1956,3
1957,3
1966,3
1968,3
1969,3
1974,3
1978,3
1991,3
1999,3
2003,3
2004,3
2005,3
2010,3
2012,3
2018,3
2020,3
2021,3
2025,3
2033,3
2036,3
2037,3
2100,3
2110,3
2114,3
2143,3
2144,3
2175,3
2178,3
2,2
3,2
5,2
7,2
11,2
15,2
16,2
25,2
32,2
33,2
39,2
43,2
45,2
52,2
57,2
58,2
64,2
69,2
70,2
71,2
77,2
81,2
82,2
84,2
87,2
91,2
97,2
101,2
104,2
114,2
115,2
144,2
191,2
200,2
212,2
225,2
246,2
247,2
253,2
279,2
280,2
284,2
286,2
292,2
295,2
307,2
324,2
325,2
332,2
337,2
345,2
359,2
366,2
367,2
370,2
371,2
373,2
383,2
388,2
389,2
396,2
400,2
408,2
431,2
432,2
451,2
456,2
459,2
461,2
466,2
469,2
472,2
474,2
475,2
476,2
482,2
488,2
490,2
491,2
494,2
499,2
501,2
510,2
511,2
512,2
514,2
515,2
519,2
520,2
525,2
532,2
534,2
552,2
579,2
580,2
603,2
617,2
618,2
626,2
627,2
630,2
632,2
647,2
656,2
658,2
660,2
661,2
662,2
663,2
664,2
665,2
669,2
673,2
685,2
686,2
709,2
712,2
714,2
723,2
729,2
731,2
732,2
744,2
746,2
748,2
749,2
750,2
774,2
794,2
797,2
802,2
813,2
826,2
827,2
830,2
836,2
837,2
838,2
840,2
841,2
855,2
863,2
864,2
866,2
867,2
869,2
872,2
873,2
902,2
913,2
920,2
928,2
929,2
932,2
936,2
937,2
938,2
940,2
941,2
952,2
954,2
962,2
964,2
965,2
966,2
967,2
968,2
969,2
970,2
983,2
986,2
988,2
989,2
991,2
993,2
994,2
996,2
997,2
998,2
1000,2
1001,2
1002,2
1011,2
1025,2
1035,2
1039,2
1041,2
1049,2
1053,2
1055,2
1061,2
1062,2
1064,2
1066,2
1067,2
1073,2
1101,2
1102,2
1109,2
1110,2
1113,2
1134,2
1136,2
1138,2
1139,2
1141,2
1145,2
1147,2
1152,2
1153,2
1155,2
1156,2
1160,2
1162,2
1163,2
1164,2
1165,2
1166,2
1167,2
1168,2
1170,2
1171,2
1174,2
1181,2
1183,2
1184,2
1185,2
1195,2
1201,2
1203,2
1219,2
1256,2
1265,2
1266,2
1267,2
1268,2
1273,2
1274,2
1277,2
1279,2
1281,2
1282,2
1284,2
1288,2
1289,2
1291,2
1299,2
1301,2
1306,2
1318,2
1326,2
1329,2
1332,2
1347,2
1373,2
1374,2
1378,2
1379,2
1381,2
1383,2
1387,2
1388,2
1394,2
1417,2
1440,2
1446,2
1477,2
1479,2
1480,2
1481,2
1482,2
1483,2
1491,2
1517,2
1525,2
1531,2
1536,2
1568,2
1571,2
1604,2
1605,2
1606,2
1630,2
1631,2
1642,2
1645,2
1647,2
1648,2
1649,2
1650,2
1653,2
1658,2
1661,2
1662,2
1677,2
1688,2
1696,2
1701,2
1705,2
1716,2
1728,2
1735,2
1737,2
1764,2
1767,2
1771,2
1800,2
1801,2
1809,2
1821,2
1822,2
1825,2
1827,2
1832,2
1835,2
1837,2
1838,2
1841,2
1843,2
1858,2
1870,2
1878,2
1879,2
1888,2
1911,2
1925,2
1931,2
1933,2
1941,2
1943,2
1945,2
1948,2
1955,2
1961,2
1963,2
1965,2
1970,2
1972,2
1977,2
1979,2
1982,2
1996,2
2007,2
2008,2
2009,2
2016,2
2017,2
2019,2
2022,2
2026,2
2027,2
2029,2
2030,2
2031,2
2032,2
2035,2
2038,2
2041,2
2042,2
2047,2
2051,2
2095,2
2097,2
2099,2
2101,2
2102,2
2103,2
2104,2
2106,2
2107,2
2108,2
2109,2
2111,2
2112,2
2113,2
2115,2
2116,2
2117,2
2119,2
2121,2
2131,2
2137,2
2138,2
2179,2
2180,2
76,1
89,1
95,1
96,1
99,1
102,1
103,1
107,1
108,1
109,1
110,1
113,1
118,1
119,1
121,1
123,1
133,1
136,1
151,1
153,1
164,1
165,1
168,1
169,1
181,1
182,1
183,1
192,1
193,1
196,1
197,1
198,1
199,1
202,1
204,1
205,1
206,1
207,1
208,1
209,1
237,1
259,1
302,1
303,1
309,1
311,1
312,1
313,1
319,1
321,1
323,1
327,1
335,1
349,1
392,1
397,1
399,1
401,1
402,1
403,1
406,1
409,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,1
441,1
443,1
444,1
445,1
446,1
448,1
449,1
450,1
453,1
498,1
506,1
509,1
516,1
517,1
518,1
522,1
523,1
524,1
526,1
529,1
530,1
531,1
538,1
539,1
540,1
541,1
545,1
548,1
549,1
550,1
551,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
561,1
562,1
563,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
577,1
578,1
581,1
582,1
583,1
584,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
605,1
608,1
611,1
631,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
641,1
689,1
694,1
695,1
698,1
699,1
700,1
702,1
703,1
704,1
705,1
707,1
708,1
710,1
711,1
713,1
751,1
752,1
753,1
754,1
755,1
756,1
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,1
806,1
807,1
808,1
809,1
810,1
811,1
814,1
815,1
816,1
817,1
818,1
819,1
820,1
842,1
843,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,1
854,1
856,1
857,1
858,1
859,1
861,1
874,1
875,1
877,1
878,1
884,1
885,1
886,1
887,1
888,1
889,1
894,1
895,1
898,1
900,1
901,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
914,1
915,1
916,1
917,1
918,1
919,1
921,1
922,1
930,1
931,1
942,1
943,1
944,1
945,1
946,1
947,1
948,1
949,1
955,1
956,1
957,1
958,1
960,1
961,1
971,1
972,1
973,1
974,1
975,1
976,1
977,1
978,1
979,1
980,1
1003,1
1004,1
1005,1
1006,1
1007,1
1008,1
1009,1
1010,1
1013,1
1014,1
1015,1
1016,1
1017,1
1018,1
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1026,1
1029,1
1030,1
1032,1
1033,1
1038,1
1040,1
1045,1
1063,1
1068,1
1069,1
1070,1
1071,1
1072,1
1074,1
1075,1
1076,1
1077,1
1078,1
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1105,1
1106,1
1111,1
1112,1
1114,1
1115,1
1116,1
1117,1
1118,1
1119,1
1120,1
1122,1
1123,1
1124,1
1125,1
1126,1
1127,1
1129,1
1130,1
1131,1
1132,1
1133,1
1172,1
1176,1
1180,1
1182,1
1186,1
1187,1
1188,1
1189,1
1191,1
1192,1
1193,1
1194,1
1196,1
1197,1
1198,1
1199,1
1200,1
1202,1
1204,1
1205,1
1207,1
1208,1
1209,1
1211,1
1212,1
1213,1
1215,1
1216,1
1218,1
1221,1
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1230,1
1231,1
1232,1
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1244,1
1245,1
1246,1
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,1
1255,1
1257,1
1258,1
1259,1
1260,1
1261,1
1262,1
1263,1
1280,1
1286,1
1287,1
1290,1
1292,1
1293,1
1294,1
1295,1
1296,1
1297,1
1298,1
1300,1
1302,1
1303,1
1304,1
1305,1
1307,1
1308,1
1309,1
1310,1
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1319,1
1320,1
