NID,CONTRIBUTOR,TOTAL
56,"NNP GZC Car '6RED', Person 'B'",2
1032,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1368,"NNP GZC Car '9WHITE', Person 'A'",1
1335,"NNP GZC Car '6WHITE', Person 'B'",1
2009,"NNP GZC Car '6RED', Person 'B'",1
314,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",7
2101,"NNP GZC Car '3RED', Person 'B'",1
297,"NNP GZC Car '3RED', Person 'A'",1
1630,"NNP GZC Car '1PURPLE', Person 'D'",1
288,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",4
338,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",10
766,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1043,"NNP GZC Car '1BLUE', Person 'C'",1
1925,"NNP GZC Car '2RED', Person 'A'",1
772,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1239,"NNP GZC Car '1WHITE', Person 'B'",1
464,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",3
443,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
788,"NNP GZC Car '4RED', Person 'A'",1
1972,"NNP GZC Car '1RED', Person 'B'",1
1621,"NNP GZC Car '7WHITE', Person 'A'",1
1538,"NNP GZC Car '1PURPLE', Person 'B'",1
668,"NNP GZC Car '7WHITE', Person 'B'",1
480,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",3
306,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
359,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2
2163,"NNP GZC Car '3RED', Person 'A'",1
716,"NNP GZC Car '8WHITE', Person 'A'",3
499,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
1494,"NNP GZC Car '1PURPLE', Person 'A'",3
8,"NNP GZC Car '1WHITE', Person 'A'",4
1801,"NNP GZC Car '7WHITE', Person 'B'",1
970,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1888,"NNP GZC Car '2RED', Person 'C'",2
1267,"NNP GZC Car '6WHITE', Person 'B'",2
708,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
508,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",4
1860,"NNP GZC Car '2RED', Person 'A'",2
132,"NNP GZC Car '1BLUE', Person 'C'",1
1110,"NNP GZC Car '2WHITE', Person 'A'",2
1904,"NNP GZC Car '1RED', Person 'A'",1
395,"NNP GZC Car '14WHITE', Person 'A'",1
613,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
792,"NNP GZC Car '15WHITE', Person 'D'",2
1175,"NNP GZC Car '13WHITE', Person 'A'",2
247,"NNP GZC Car '3RED', Person 'A'",1
652,"NNP GZC Car '7WHITE', Person 'A'",1
1269,"NNP GZC Car '13WHITE', Person 'A'",2
1225,"NNP GZC Car '1WHITE', Person 'A'",1
1541,"NNP GZC Car '1PURPLE', Person 'D'",1
1651,"NNP GZC Car '15WHITE', Person 'A'",8
1497,"NNP GZC Car '1PURPLE', Person 'A'",1
1370,"NNP GZC Car '9WHITE', Person 'A'",1
2127,"NNP GZC Car '3RED', Person 'B'",1
1612,"NNP GZC Car '1PURPLE', Person 'A'",2
1203,"NNP GZC Car '1WHITE', Person 'C'",1
1702,"NNP GZC Car '7WHITE', Person 'A'",1
2170,"NNP GZC Car '3WHITE', Person 'A'",1
1168,"NNP GZC Car '12WHITE', Person 'A'",1
454,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
2109,"NNP GZC Car '3RED', Person 'B'",1
1875,"NNP GZC Car '2RED', Person 'C'",4
1921,"NNP GZC Car '1PURPLE', Person 'A'",4
574,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
64,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",2
1474,"NNP GZC Car '5WHITE', Person 'A'",1
2044,"NNP GZC Car '7WHITE', Person 'A'",1
968,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
490,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",2
1582,"NNP GZC Car '1PURPLE', Person 'B'",1
1650,"NNP GZC Car '15WHITE', Person 'A'",1
511,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",2
914,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
950,"NNP GZC Car '1PURPLE', Person 'A'",1
1485,"NNP GZC Car '14WHITE', Person 'A'",1
765,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
293,"NNP GZC Car '4RED', Person 'A'",2
1720,"NNP GZC Car '3WHITE', Person 'A'",11
1175,"NNP GZC Car '6WHITE', Person 'B'",1
543,"NNP GZC Car '7WHITE', Person 'A'",1
2151,"NNP GZC Car '3RED', Person 'A'",1
1223,"NNP GZC Car '1WHITE', Person 'C'",1
1889,"NNP GZC Car '2RED', Person 'A'",1
798,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
781,"NNP GZC Car '1PURPLE', Person 'A'",1
1981,"NNP GZC Car '1RED', Person 'B'",1
1535,"NNP GZC Car '1PURPLE', Person 'D'",2
100,"NNP GZC Car '1WHITE', Person 'C'",1
2090,"NNP GZC Car '6RED', Person 'A'",1
717,"NNP GZC Car '1PURPLE', Person 'D'",5
1418,"NNP GZC Car '5WHITE', Person 'A'",1
1011,"NNP GZC Car '6WHITE', Person 'B'",1
1559,"NNP GZC Car '14WHITE', Person 'A'",1
1551,"NNP GZC Car '1PURPLE', Person 'B'",6
9,"NNP GZC Car '11WHITE', Person 'A'",1
1177,"NNP GZC Car '11WHITE', Person 'A'",3
1016,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1215,"NNP GZC Car '1WHITE', Person 'A'",1
1507,"NNP GZC Car '1PURPLE', Person 'B'",2
1478,"NNP GZC Car '14WHITE', Person 'A'",2
1253,"NNP GZC Car '1WHITE', Person 'B'",1
786,"NNP GZC Car '2RED', Person 'A'",2
667,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1879,"NNP GZC Car '2RED', Person 'B'",1
345,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2
1481,"NNP GZC Car '14WHITE', Person 'A'",2
1529,"NNP GZC Car '1RED', Person 'B'",2
1177,"NNP GZC Car '1WHITE', Person 'B'",1
390,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",4
693,"NNP GZC Car '2WHITE', Person 'A'",1
539,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
42,"NNP GZC Car '6WHITE', Person 'B'",2
1530,"NNP GZC Car '1PURPLE', Person 'D'",1
691,"NNP GZC Car '1PURPLE', Person 'B'",1
792,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",7
659,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1761,"NNP GZC Car '12WHITE', Person 'A'",1
1429,"NNP GZC Car '5WHITE', Person 'A'",1
560,"NNP GZC Car '1PURPLE', Person 'D'",2
622,"NNP GZC Car '1PURPLE', Person 'D'",1
835,"NNP GZC Car '1PURPLE', Person 'A'",1
1562,"NNP GZC Car '1PURPLE', Person 'A'",4
376,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",4
128,"NNP GZC Car '1BLUE', Person 'B'",2
1360,"NNP GZC Car '9WHITE', Person 'A'",1
1729,"NNP GZC Car '3WHITE', Person 'A'",1
1804,"NNP GZC Car '7WHITE', Person 'B'",1
865,"NNP GZC Car '1PURPLE', Person 'A'",2
1062,"NNP GZC Car '25PURPLE', Person 'A'",2
1172,"NNP GZC Car '1WHITE', Person 'C'",1
1307,"NNP GZC Car '6WHITE', Person 'B'",1
864,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1698,"NNP GZC Car '1RED', Person 'B'",1
1702,"NNP GZC Car '1PURPLE', Person 'D'",2
394,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
2072,"NNP GZC Car '6RED', Person 'B'",1
884,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
530,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
89,"NNP GZC Car '1WHITE', Person 'A'",1
156,"NNP GZC Car '1PURPLE', Person 'B'",1
1547,"NNP GZC Car '1PURPLE', Person 'D'",3
806,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
512,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",2
1920,"NNP GZC Car '2RED', Person 'A'",1
1158,"NNP GZC Car '1WHITE', Person 'A'",1
607,"NNP GZC Car '1RED', Person 'B'",2
1173,"NNP GZC Car '3WHITE', Person 'A'",1
1881,"NNP GZC Car '2RED', Person 'A'",1
355,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
1563,"NNP GZC Car '1PURPLE', Person 'D'",4
1700,"NNP GZC Car '1BLUE', Person 'C'",1
276,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
369,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
299,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",8
715,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
846,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1137,"NNP GZC Car '12WHITE', Person 'A'",1
1820,"NNP GZC Car '13WHITE', Person 'B'",3
1876,"NNP GZC Car '2RED', Person 'C'",4
1624,"NNP GZC Car '14WHITE', Person 'A'",1
2158,"NNP GZC Car '3RED', Person 'B'",1
1282,"NNP GZC Car '6WHITE', Person 'B'",2
2117,"NNP GZC Car '3RED', Person 'A'",1
591,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
166,"NNP GZC Car '1RED', Person 'B'",2
1067,"NNP GZC Car '25PURPLE', Person 'A'",2
2002,"NNP GZC Car '1RED', Person 'B'",1
1517,"NNP GZC Car '1PURPLE', Person 'D'",2
772,"NNP GZC Car '8WHITE', Person 'A'",1
1694,"NNP GZC Car '8WHITE', Person 'A'",1
789,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",7
1169,"NNP GZC Car '1WHITE', Person 'B'",5
336,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
871,"NNP GZC Car '2RED', Person 'B'",3
1875,"NNP GZC Car '1RED', Person 'A'",3
1056,"NNP GZC Car '25PURPLE', Person 'A'",3
681,"NNP GZC Car '1PURPLE', Person 'B'",7
1985,"NNP GZC Car '1RED', Person 'B'",1
1020,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
995,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
785,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",6
1868,"NNP GZC Car '2RED', Person 'C'",1
181,"NNP GZC Car '6WHITE', Person 'B'",1
907,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1985,"NNP GZC Car '1PURPLE', Person 'B'",6
42,"NNP GZC Car '1WHITE', Person 'A'",6
1656,"NNP GZC Car '15WHITE', Person 'A'",2
1694,"NNP GZC Car '14WHITE', Person 'A'",4
312,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
651,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",6
1242,"NNP GZC Car '1WHITE', Person 'B'",1
1476,"NNP GZC Car '5WHITE', Person 'A'",1
1301,"NNP GZC Car '6WHITE', Person 'B'",2
719,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1618,"NNP GZC Car '1PURPLE', Person 'B'",1
619,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1788,"NNP GZC Car '8WHITE', Person 'A'",1
393,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
628,"NNP GZC Car '1PURPLE', Person 'D'",3
158,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",5
649,"NNP GZC Car '2RED', Person 'C'",1
1779,"NNP GZC Car '8WHITE', Person 'A'",1
624,"NNP GZC Car '1PURPLE', Person 'D'",1
1398,"NNP GZC Car '7WHITE', Person 'A'",2
1247,"NNP GZC Car '1WHITE', Person 'A'",1
1533,"NNP GZC Car '1RED', Person 'B'",3
1696,"NNP GZC Car '1BLUE', Person 'C'",1
564,"NNP GZC Car '1WHITE', Person 'C'",1
132,"NNP GZC Car '1BLUE', Person 'A'",1
1605,"NNP GZC Car '1PURPLE', Person 'B'",1
865,"NNP GZC Car '1BLUE', Person 'D'",1
374,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
1148,"NNP GZC Car '6WHITE', Person 'B'",2
1265,"NNP GZC Car '6WHITE', Person 'B'",2
533,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",7
31,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1179,"NNP GZC Car '13WHITE', Person 'B'",1
2098,"NNP GZC Car '3RED', Person 'B'",4
1639,"NNP GZC Car '1PURPLE', Person 'A'",3
1466,"NNP GZC Car '5WHITE', Person 'A'",1
1789,"NNP GZC Car '8WHITE', Person 'A'",1
1717,"NNP GZC Car '1PURPLE', Person 'A'",2
273,"NNP GZC Car '1RED', Person 'B'",1
1519,"NNP GZC Car '7WHITE', Person 'A'",2
776,"NNP GZC Car '1PURPLE', Person 'A'",1
1070,"NNP GZC Car '25PURPLE', Person 'A'",1
1960,"NNP GZC Car '1RED', Person 'A'",2
1978,"NNP GZC Car '1RED', Person 'B'",1
387,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
1562,"NNP GZC Car '1PURPLE', Person 'D'",3
1350,"NNP GZC Car '6WHITE', Person 'B'",1
774,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1876,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",5
783,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
30,"NNP GZC Car '1WHITE', Person 'C'",2
346,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",3
2138,"NNP GZC Car '4RED', Person 'A'",2
1552,"NNP GZC Car '1PURPLE', Person 'A'",1
234,"NNP GZC Car '15WHITE', Person 'B'",7
1550,"NNP GZC Car '14WHITE', Person 'A'",2
282,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
781,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1638,"NNP GZC Car '1PURPLE', Person 'D'",6
73,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1541,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2
805,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",5
1879,"NNP GZC Car '2RED', Person 'C'",1
1875,"NNP GZC Car '1RED', Person 'B'",2
620,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",7
995,"NNP GZC Car '1BLUE', Person 'C'",1
964,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
2063,"NNP GZC Car '6RED', Person 'A'",1
1645,"NNP GZC Car '15WHITE', Person 'A'",1
1809,"NNP GZC Car '7WHITE', Person 'B'",1
953,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1801,"NNP GZC Car '7WHITE', Person 'A'",1
1309,"NNP GZC Car '6WHITE', Person 'B'",1
1882,"NNP GZC Car '2RED', Person 'C'",9
1805,"NNP GZC Car '7WHITE', Person 'A'",1
1674,"NNP GZC Car '1PURPLE', Person 'D'",1
2014,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2
1375,"NNP GZC Car '1BLUE', Person 'C'",1
273,"NNP GZC Car '15WHITE', Person 'C'",2
1285,"NNP GZC Car '6WHITE', Person 'B'",4
1563,"NNP GZC Car '1PURPLE', Person 'B'",4
1949,"NNP GZC Car '1RED', Person 'A'",3
1549,"NNP GZC Car '1PURPLE', Person 'B'",2
1566,"NNP GZC Car '1RED', Person 'A'",1
1515,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
2022,"NNP GZC Car '6RED', Person 'A'",1
285,"NNP GZC Car '2RED', Person 'A'",1
2089,"NNP GZC Car '6RED', Person 'B'",1
294,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",10
544,"NNP GZC Car '3WHITE', Person 'A'",10
901,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1207,"NNP GZC Car '1WHITE', Person 'A'",1
643,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
571,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
1571,"NNP GZC Car '1PURPLE', Person 'B'",1
777,"NNP GZC Car '3PURPLE', Person 'A'",1
306,"NNP GZC Car '4RED', Person 'A'",2
280,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
1552,"NNP GZC Car '14WHITE', Person 'A'",2
1681,"NNP GZC Car '1BLUE', Person 'C'",1
1559,"NNP GZC Car '1PURPLE', Person 'D'",5
1450,"NNP GZC Car '4WHITE', Person 'A'",1
796,"NNP GZC Car '3PURPLE', Person 'A'",1
611,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1753,"NNP GZC Car '12WHITE', Person 'A'",1
63,"NNP GZC Car '8WHITE', Person 'A'",2
1391,"NNP GZC Car '7WHITE', Person 'A'",1
576,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
1439,"NNP GZC Car '1PURPLE', Person 'D'",1
909,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1612,"NNP GZC Car '1PURPLE', Person 'D'",2
543,"NNP GZC Car '7WHITE', Person 'B'",1
680,"NNP GZC Car '1PURPLE', Person 'B'",1
377,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",7
310,"NNP GZC Car '15WHITE', Person 'A'",1
1855,"NNP GZC Car '13WHITE', Person 'B'",1
166,"NNP GZC Car '3PURPLE', Person 'A'",1
1604,"NNP GZC Car '1PURPLE', Person 'A'",1
193,"NNP GZC Car '8WHITE', Person 'A'",1
1927,"NNP GZC Car '2RED', Person 'C'",1
1936,"NNP GZC Car '1RED', Person 'B'",2
1595,"NNP GZC Car '1PURPLE', Person 'D'",1
1464,"NNP GZC Car '5WHITE', Person 'A'",1
1600,"NNP GZC Car '1PURPLE', Person 'A'",1
2062,"NNP GZC Car '6RED', Person 'B'",1
1503,"NNP GZC Car '1PURPLE', Person 'B'",1
1154,"NNP GZC Car '1WHITE', Person 'B'",3
1547,"NNP GZC Car '8WHITE', Person 'A'",1
1540,"NNP GZC Car '14WHITE', Person 'A'",2
793,"NNP GZC Car '2RED', Person 'A'",3
1378,"NNP GZC Car '1BLUE', Person 'A'",1
718,"NNP GZC Car '8WHITE', Person 'A'",1
1485,"NNP GZC Car '1PURPLE', Person 'A'",2
2110,"NNP GZC Car '3RED', Person 'A'",1
1775,"NNP GZC Car '8WHITE', Person 'A'",1
2166,"NNP GZC Car '1RED', Person 'A'",1
690,"NNP GZC Car '8WHITE', Person 'A'",4
2100,"NNP GZC Car '3RED', Person 'A'",2
1490,"NNP GZC Car '1RED', Person 'B'",1
1230,"NNP GZC Car '1WHITE', Person 'B'",1
308,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",3
1142,"NNP GZC Car '1WHITE', Person 'B'",5
1642,"NNP GZC Car '15WHITE', Person 'A'",2
735,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1628,"NNP GZC Car '1PURPLE', Person 'B'",3
1498,"NNP GZC Car '1PURPLE', Person 'C'",1
466,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
445,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
53,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
284,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
998,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
384,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",6
97,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0",1
1087,"NNP GZC Car '25PURPLE', Person 'A'",1
1194,"NNP GZC Car '1WHITE', Person 'C'",1
100,"NNP GZC Car '3WHITE', Person 'A'",3
485,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",7
1252,"NNP GZC Car '1WHITE', Person 'B'",1
450,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
335,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
553,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
1006,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1588,"NNP GZC Car '1PURPLE', Person 'B'",1
791,"NNP GZC Car '2RED', Person 'D'",3
1234,"NNP GZC Car '1WHITE', Person 'C'",1
127,"NNP GZC Car '1BLUE', Person 'C'",1
486,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
471,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",2
1883,"NNP GZC Car '2RED', Person 'A'",1
2020,"NNP GZC Car '6RED', Person 'A'",3
622,"NNP GZC Car '1PURPLE', Person 'B'",1
915,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
507,"NNP GZC Car '3RED', Person 'B'",1
1976,"NNP GZC Car '1RED', Person 'B'",4
1640,"NNP GZC Car '1RED', Person 'B'",4
1998,"NNP GZC Car '11WHITE', Person 'A'",2
273,"NNP GZC Car '3RED', Person 'A'",2
1628,"NNP GZC Car '1PURPLE', Person 'D'",1
297,"NNP GZC Car '17WHITE', Person 'C'",1
33,"NNP GZC Car '1WHITE', Person 'A'",2
396,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",2
1857,"NNP GZC Car '6RED', Person 'B'",1
551,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",1
1046,"NNP GZC Car '25PURPLE', Person 'A'",5
1939,"NNP GZC Car '1RED', Person 'A'",2
1197,"NNP GZC Car '1WHITE', Person 'A'",1
910,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
536,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
343,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",4
527,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",3
2175,"NNP GZC Car '3WHITE', Person 'A'",3
1953,"NNP GZC Car '1RED', Person 'B'",3
1398,"NNP GZC Car '7WHITE', Person 'B'",1
1728,"NNP GZC Car '3WHITE', Person 'A'",2
1567,"NNP GZC Car '1PURPLE', Person 'B'",3
7,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1080,"NNP GZC Car '25PURPLE', Person 'A'",1
1735,"NNP GZC Car '6WHITE', Person 'B'",1
1840,"NNP GZC Car '13WHITE', Person 'B'",2
697,"NNP GZC Car '1RED', Person 'B'",1
529,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
2181,"NNP GZC Car '11WHITE', Person 'A'",2
1817,"NNP GZC Car '11WHITE', Person 'A'",4
502,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",10
1561,"NNP GZC Car '1PURPLE', Person 'D'",3
2095,"NNP GZC Car '3RED', Person 'A'",1
1810,"NNP GZC Car '1RED', Person 'A'",1
660,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
810,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
48,"NNP GZC Car '1WHITE', Person 'C'",4
1141,"NNP GZC Car '1WHITE', Person 'B'",2
1157,"NNP GZC Car '13WHITE', Person 'A'",1
1523,"NNP GZC Car '1PURPLE', Person 'A'",4
109,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
