NID,CONTRIBUTOR,TOTAL
1963,"NNP GZC Car '1RED', Person 'B'",2
341,"NNP GZC Car '6RED', Person 'B'",2
791,"NNP GZC Car '2RED', Person 'A'",3
2116,"NNP GZC Car '3RED', Person 'A'",1
828,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
654,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",4
1592,"NNP GZC Car '1PURPLE', Person 'B'",1
497,"NNP GZC Car '4RED', Person 'A'",1
1213,"NNP GZC Car '1WHITE', Person 'C'",1
451,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",2
1523,"NNP GZC Car '5WHITE', Person 'A'",2
1900,"NNP GZC Car '2RED', Person 'C'",1
696,"NNP GZC Car '1PURPLE', Person 'A'",5
1192,"NNP GZC Car '1WHITE', Person 'B'",1
357,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
706,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1132,"NNP GZC Car '2WHITE', Person 'A'",1
2040,"NNP GZC Car '6RED', Person 'A'",2
1829,"NNP GZC Car '11WHITE', Person 'A'",1
1495,"NNP GZC Car '1PURPLE', Person 'B'",3
68,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
510,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",2
2071,"NNP GZC Car '6RED', Person 'B'",1
702,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
822,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",5
1959,"NNP GZC Car '7WHITE', Person 'B'",1
799,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1674,"NNP GZC Car '1PURPLE', Person 'B'",2
1526,"NNP GZC Car '1PURPLE', Person 'D'",3
1384,"NNP GZC Car '1BLUE', Person 'D'",1
1014,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
870,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
1493,"NNP GZC Car '1PURPLE', Person 'B'",2
883,"NNP GZC Car '1PURPLE', Person 'A'",6
