NID,Count
1174,2
1381,2
1605,2
867,2
991,2
1650,2
1446,2
662,2
1767,2
1062,2
929,2
1332,2
1073,2
370,2
1266,2
1965,2
359,2
686,2
1113,2
1955,2
813,2
580,2
656,2
2009,2
663,2
967,2
472,2
1771,2
2138,2
1630,2
1642,2
855,2
1002,2
1648,2
962,2
1688,2
2027,2
1067,2
665,2
1049,2
2095,2
1800,2
1195,2
1164,2
932,2
1536,2
1139,2
841,2
952,2
1284,2
1961,2
475,2
626,2
1168,2
1568,2
396,2
1701,2
1979,2
431,2
2112,2
994,2
1152,2
1822,2
2107,2
512,2
660,2
658,2
2097,2
1277,2
2031,2
2116,2
836,2
966,2
838,2
1647,2
1166,2
750,2
1925,2
515,2
873,2
1373,2
968,2
1440,2
1963,2
292,2
1945,2
1858,2
983,2
1764,2
1832,2
928,2
520,2
998,2
2022,2
1931,2
1977,2
2099,2
1155,2
2030,2
1110,2
1801,2
1658,2
617,2
954,2
579,2
1482,2
1479,2
1141,2
1281,2
1645,2
1055,2
920,2
938,2
2017,2
1279,2
1728,2
1136,2
1483,2
1525,2
837,2
1716,2
337,2
1145,2
388,2
456,2
491,2
1662,2
345,2
1972,2
1737,2
2016,2
2101,2
279,2
284,2
627,2
970,2
940,2
1388,2
902,2
432,2
1531,2
1982,2
1911,2
1888,2
794,2
1156,2
490,2
1109,2
1171,2
993,2
748,2
476,2
1288,2
494,2
1066,2
1134,2
366,2
1326,2
461,2
1203,2
1735,2
2109,2
1167,2
1039,2
1201,2
1299,2
1265,2
1183,2
1153,2
729,2
1301,2
864,2
1387,2
1291,2
2035,2
1606,2
1571,2
863,2
723,2
1933,2
1219,2
519,2
2103,2
2038,2
459,2
1001,2
389,2
1517,2
1477,2
937,2
647,2
1809,2
1696,2
749,2
1181,2
1941,2
866,2
324,2
332,2
1162,2
988,2
673,2
451,2
510,2
709,2
2115,2
1705,2
373,2
1631,2
1835,2
1870,2
1677,2
325,2
1170,2
669,2
383,2
996,2
1825,2
371,2
466,2
872,2
1996,2
2007,2
731,2
826,2
965,2
1383,2
997,2
1101,2
2102,2
1185,2
295,2
2121,2
1841,2
1053,2
1282,2
1035,2
2047,2
2108,2
1025,2
1649,2
1379,2
1268,2
469,2
1163,2
367,2
869,2
2041,2
1267,2
552,2
1061,2
1491,2
532,2
1184,2
840,2
1289,2
827,2
1481,2
797,2
1160,2
1843,2
664,2
632,2
1064,2
408,2
2119,2
1378,2
603,2
2026,2
2029,2
802,2
969,2
286,2
482,2
400,2
1374,2
1318,2
1274,2
661,2
936,2
913,2
1165,2
1394,2
1827,2
732,2
964,2
1000,2
514,2
2137,2
534,2
941,2
307,2
488,2
830,2
1653,2
630,2
1943,2
1970,2
1273,2
2106,2
1417,2
618,2
1347,2
2019,2
280,2
1878,2
1256,2
2032,2
1329,2
525,2
2131,2
1138,2
1604,2
986,2
2051,2
1838,2
2179,2
774,2
1879,2
499,2
1948,2
989,2
2180,2
501,2
1837,2
1821,2
2111,2
1406,1
973,1
1131,1
1431,1
811,1
639,1
1973,1
633,1
1573,1
1045,1
1407,1
1241,1
1836,1
1758,1
1736,1
445,1
1197,1
971,1
2074,1
1794,1
638,1
820,1
1666,1
2064,1
2170,1
335,1
1324,1
1599,1
2066,1
1040,1
1449,1
980,1
1781,1
898,1
1333,1
1458,1
815,1
1083,1
1975,1
2124,1
518,1
1231,1
1585,1
412,1
1352,1
1775,1
1845,1
1293,1
875,1
450,1
1421,1
323,1
1395,1
1226,1
1895,1
1223,1
1583,1
2002,1
1218,1
605,1
708,1
1091,1
1665,1
889,1
1601,1
1414,1
440,1
1854,1
1890,1
1081,1
1359,1
847,1
1230,1
577,1
554,1
559,1
2059,1
1334,1
588,1
1466,1
1010,1
2085,1
541,1
2045,1
595,1
1182,1
437,1
1263,1
1022,1
1724,1
1325,1
1731,1
878,1
1216,1
1339,1
1004,1
907,1
1354,1
1984,1
420,1
2081,1
1079,1
888,1
2149,1
2133,1
1733,1
819,1
1330,1
1422,1
1592,1
1438,1
2058,1
1711,1
874,1
1344,1
550,1
1076,1
955,1
1797,1
1814,1
517,1
1192,1
1209,1
1085,1
1455,1
1636,1
1075,1
1021,1
2126,1
2125,1
1752,1
2172,1
1572,1
806,1
427,1
2091,1
1992,1
1922,1
313,1
1018,1
957,1
1905,1
1690,1
1682,1
1017,1
1254,1
2157,1
1207,1
540,1
906,1
1244,1
1030,1
435,1
