AID,GID,NID,CONTRIBUTOR
12881,5330,1721,"NNP GZC Car '3WHITE', Person 'A'"
11545,8831,666,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13978,2328,675,"NNP GZC Car '1PURPLE', Person 'D'"
14478,5208,2117,"NNP GZC Car '3RED', Person 'B'"
12216,3498,1048,"NNP GZC Car '25PURPLE', Person 'A'"
10481,8006,322,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
15479,279,1028,"NNP GZC Car '11WHITE', Person 'A'"
11786,8975,675,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13044,6997,1270,"NNP GZC Car '6WHITE', Person 'B'"
15054,1644,1559,"NNP GZC Car '1PURPLE', Person 'A'"
12320,1242,1378,"NNP GZC Car '1BLUE', Person 'A'"
11338,8675,743,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13860,5667,812,"NNP GZC Car '4RED', Person 'A'"
15195,1606,1553,"NNP GZC Car '1PURPLE', Person 'A'"
12064,9238,991,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
15984,5095,2099,"NNP GZC Car '3RED', Person 'A'"
15511,280,1028,"NNP GZC Car '11WHITE', Person 'A'"
15663,827,1651,"NNP GZC Car '15WHITE', Person 'A'"
12032,9251,993,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14028,1848,1487,"NNP GZC Car '1PURPLE', Person 'B'"
12431,1239,1695,"NNP GZC Car '1BLUE', Person 'A'"
10706,8128,380,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
11867,9067,924,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
18489,3690,1857,"NNP GZC Car '2RED', Person 'A'"
14682,1837,1623,"NNP GZC Car '1PURPLE', Person 'B'"
14062,2426,1528,"NNP GZC Car '1PURPLE', Person 'D'"
10157,7792,492,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
13656,7194,1800,"NNP GZC Car '7WHITE', Person 'A'"
12960,5343,543,"NNP GZC Car '3WHITE', Person 'A'"
12222,3561,486,"NNP GZC Car '25PURPLE', Person 'A'"
15288,1902,1485,"NNP GZC Car '1PURPLE', Person 'B'"
17172,2694,609,"NNP GZC Car '1RED', Person 'A'"
10337,7898,472,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
14925,1791,1546,"NNP GZC Car '1PURPLE', Person 'B'"
13485,6156,655,"NNP GZC Car '5WHITE', Person 'A'"
15212,2377,1525,"NNP GZC Car '1PURPLE', Person 'D'"
15030,1936,667,"NNP GZC Car '1PURPLE', Person 'B'"
13218,5837,1440,"NNP GZC Car '4WHITE', Person 'A'"
10486,8007,322,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
10411,7954,502,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
11484,8774,714,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
15281,1858,691,"NNP GZC Car '1PURPLE', Person 'B'"
14535,1784,1548,"NNP GZC Car '1PURPLE', Person 'B'"
15020,1629,696,"NNP GZC Car '1PURPLE', Person 'A'"
11869,9068,924,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
17973,4854,1931,"NNP GZC Car '2RED', Person 'D'"
14219,765,1550,"NNP GZC Car '14WHITE', Person 'A'"
10761,8157,424,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
10371,7926,485,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
11307,8650,726,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13645,7199,1621,"NNP GZC Car '7WHITE', Person 'A'"
14752,1522,1561,"NNP GZC Car '1PURPLE', Person 'A'"
16525,7488,1639,"NNP GZC Car '8WHITE', Person 'A'"
13628,7186,715,"NNP GZC Car '7WHITE', Person 'A'"
10913,8293,470,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0"
11952,9153,959,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12062,9262,983,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10998,8399,768,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
15502,1645,1674,"NNP GZC Car '1PURPLE', Person 'A'"
11591,8863,698,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10958,8369,798,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
11016,8416,642,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10195,7815,274,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
14885,1739,776,"NNP GZC Car '1PURPLE', Person 'B'"
12153,3546,1094,"NNP GZC Car '25PURPLE', Person 'A'"
11809,9015,880,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
11240,8583,276,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13278,362,1175,"NNP GZC Car '12WHITE', Person 'A'"
14741,2279,741,"NNP GZC Car '1PURPLE', Person 'D'"
18014,3700,285,"NNP GZC Car '2RED', Person 'A'"
16460,7445,1971,"NNP GZC Car '8WHITE', Person 'A'"
12254,1376,1382,"NNP GZC Car '1BLUE', Person 'C'"
11621,8886,650,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10218,7832,317,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
15410,529,1157,"NNP GZC Car '13WHITE', Person 'B'"
12688,3205,959,"NNP GZC Car '1WHITE', Person 'B'"
16127,575,1146,"NNP GZC Car '13WHITE', Person 'B'"
17026,2755,1893,"NNP GZC Car '1RED', Person 'B'"
14772,1839,1506,"NNP GZC Car '1PURPLE', Person 'B'"
14783,2434,1717,"NNP GZC Car '1PURPLE', Person 'D'"
17164,2981,1984,"NNP GZC Car '1RED', Person 'B'"
11057,8442,805,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14686,1801,1514,"NNP GZC Car '1PURPLE', Person 'B'"
17845,6401,2073,"NNP GZC Car '6RED', Person 'A'"
18661,4403,1867,"NNP GZC Car '2RED', Person 'C'"
11651,8707,632,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
15837,1897,1566,"NNP GZC Car '1PURPLE', Person 'B'"
10929,8303,510,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0"
13844,5659,306,"NNP GZC Car '4RED', Person 'A'"
10273,7857,303,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
13823,5679,2138,"NNP GZC Car '4RED', Person 'A'"
15518,296,1819,"NNP GZC Car '11WHITE', Person 'A'"
13908,3005,1988,"NNP GZC Car '1RED', Person 'B'"
11505,8794,710,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
15826,1999,1985,"NNP GZC Car '1PURPLE', Person 'B'"
15334,2287,1549,"NNP GZC Car '1PURPLE', Person 'D'"
12099,9379,1038,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13857,5663,788,"NNP GZC Car '4RED', Person 'A'"
17617,6294,2012,"NNP GZC Car '6RED', Person 'A'"
14557,2496,1492,"NNP GZC Car '1PURPLE', Person 'D'"
11363,8690,624,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12482,4887,1106,"NNP GZC Car '2WHITE', Person 'A'"
14668,1598,1486,"NNP GZC Car '1PURPLE', Person 'A'"
14409,2156,615,"NNP GZC Car '1PURPLE', Person 'D'"
11913,9110,942,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10772,8168,379,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
13302,366,1027,"NNP GZC Car '12WHITE', Person 'A'"
14712,2243,1551,"NNP GZC Car '1PURPLE', Person 'D'"
14799,2011,2182,"NNP GZC Car '1PURPLE', Person 'B'"
10270,7855,318,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
14787,1626,1489,"NNP GZC Car '1PURPLE', Person 'A'"
13579,7303,715,"NNP GZC Car '7WHITE', Person 'B'"
11496,8784,356,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
11315,8659,734,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14282,1971,1495,"NNP GZC Car '1PURPLE', Person 'B'"
12011,9274,393,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
11399,8714,624,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
16798,2873,297,"NNP GZC Car '1RED', Person 'B'"
17757,6692,2015,"NNP GZC Car '6RED', Person 'B'"
12074,9300,377,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13321,381,1760,"NNP GZC Car '12WHITE', Person 'A'"
13453,7,1834,"NNP GZC Car '10WHITE', Person 'A'"
10883,8260,560,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0"
10306,7876,496,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
17406,6757,2007,"NNP GZC Car '6RED', Person 'B'"
13776,6209,1458,"NNP GZC Car '5WHITE', Person 'A'"
10762,8158,395,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
