AID,GID,NID,CONTRIBUTOR
9028,8329,47,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9948,2650,210,"NNP GZC Car '1RED', Person 'A'"
9997,4820,273,"NNP GZC Car '2RED', Person 'D'"
9345,435,60,"NNP GZC Car '13WHITE', Person 'A'"
9091,9157,20,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9451,923,237,"NNP GZC Car '15WHITE', Person 'A'"
8920,9329,14,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8853,9331,7,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10017,3652,273,"NNP GZC Car '2RED', Person 'A'"
9478,913,234,"NNP GZC Car '15WHITE', Person 'A'"
9558,5013,166,"NNP GZC Car '3PURPLE', Person 'B'"
9082,9310,74,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9070,9173,86,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9125,9343,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9670,1449,49,"NNP GZC Car '1BLUE', Person 'C'"
9760,7709,27,"NNP GZC Car '8WHITE', Person 'A'"
9113,9352,83,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9118,9223,25,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9656,6932,146,"NNP GZC Car '6WHITE', Person 'B'"
8947,3088,8,"NNP GZC Car '1WHITE', Person 'A'"
9035,9338,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
10008,4816,273,"NNP GZC Car '2RED', Person 'D'"
9798,7702,27,"NNP GZC Car '8WHITE', Person 'A'"
8854,3147,79,"NNP GZC Car '1WHITE', Person 'A'"
9967,2862,238,"NNP GZC Car '1RED', Person 'B'"
8848,9311,53,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9938,2830,124,"NNP GZC Car '1RED', Person 'B'"
8982,3163,70,"NNP GZC Car '1WHITE', Person 'A'"
9996,3639,273,"NNP GZC Car '2RED', Person 'A'"
8895,9348,78,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8939,3438,57,"NNP GZC Car '1WHITE', Person 'C'"
8890,8363,19,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9981,2801,246,"NNP GZC Car '1RED', Person 'B'"
9227,151,112,"NNP GZC Car '11WHITE', Person 'A'"
9106,8347,47,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9680,1452,132,"NNP GZC Car '1BLUE', Person 'C'"
9084,3136,55,"NNP GZC Car '1WHITE', Person 'A'"
9984,2829,241,"NNP GZC Car '1RED', Person 'B'"
9504,1014,273,"NNP GZC Car '15WHITE', Person 'D'"
9303,7281,135,"NNP GZC Car '7WHITE', Person 'B'"
8893,3141,42,"NNP GZC Car '1WHITE', Person 'A'"
9929,5467,105,"NNP GZC Car '3WHITE', Person 'A'"
9088,3162,68,"NNP GZC Car '1WHITE', Person 'A'"
8954,8336,60,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9109,9322,24,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9940,2831,241,"NNP GZC Car '1RED', Person 'B'"
9294,6125,29,"NNP GZC Car '5WHITE', Person 'A'"
8827,9327,14,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9675,1249,127,"NNP GZC Car '1BLUE', Person 'A'"
9188,153,112,"NNP GZC Car '11WHITE', Person 'A'"
9653,6936,100,"NNP GZC Car '6WHITE', Person 'B'"
9124,9343,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8807,8349,47,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9973,2858,241,"NNP GZC Car '1RED', Person 'B'"
9899,5290,158,"NNP GZC Car '3WHITE', Person 'A'"
9581,6952,49,"NNP GZC Car '6WHITE', Person 'B'"
9142,9358,15,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9608,5166,112,"NNP GZC Car '3RED', Person 'B'"
9394,517,146,"NNP GZC Car '13WHITE', Person 'B'"
8999,9225,31,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9565,5021,167,"NNP GZC Car '3PURPLE', Person 'B'"
8860,3298,23,"NNP GZC Car '1WHITE', Person 'B'"
8867,8325,64,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9483,903,234,"NNP GZC Car '15WHITE', Person 'A'"
9602,5035,273,"NNP GZC Car '3RED', Person 'A'"
9059,3310,100,"NNP GZC Car '1WHITE', Person 'C'"
9678,1253,128,"NNP GZC Car '1BLUE', Person 'A'"
8812,9351,46,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9068,9159,45,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9361,515,74,"NNP GZC Car '13WHITE', Person 'B'"
9975,2863,238,"NNP GZC Car '1RED', Person 'B'"
9393,499,60,"NNP GZC Car '13WHITE', Person 'B'"
8964,8344,63,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9557,5015,166,"NNP GZC Car '3PURPLE', Person 'B'"
8926,8322,90,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9481,840,273,"NNP GZC Car '15WHITE', Person 'A'"
9196,2109,156,"NNP GZC Car '1PURPLE', Person 'D'"
9550,5020,167,"NNP GZC Car '3PURPLE', Person 'B'"
9671,1259,100,"NNP GZC Car '1BLUE', Person 'A'"
9317,7274,135,"NNP GZC Car '7WHITE', Person 'B'"
9192,306,74,"NNP GZC Car '11WHITE', Person 'A'"
9103,9312,53,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8899,9339,56,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8905,9333,5,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9129,9326,58,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
8949,9165,45,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9329,11,210,"NNP GZC Car '10WHITE', Person 'A'"
8897,9348,72,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9117,9396,95,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9732,7719,27,"NNP GZC Car '8WHITE', Person 'A'"
9157,1145,158,"NNP GZC Car '16WHITE', Person 'A'"
9166,9357,15,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9856,5584,151,"NNP GZC Car '3WHITE', Person 'A'"
9624,5109,247,"NNP GZC Car '3RED', Person 'A'"
9689,1344,273,"NNP GZC Car '1BLUE', Person 'C'"
8887,9405,91,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
9753,7726,184,"NNP GZC Car '8WHITE', Person 'A'"
9630,5226,124,"NNP GZC Car '3RED', Person 'B'"
9883,5474,148,"NNP GZC Car '3WHITE', Person 'A'"
9290,6116,138,"NNP GZC Car '5WHITE', Person 'A'"
9945,2828,124,"NNP GZC Car '1RED', Person 'B'"
9637,6971,105,"NNP GZC Car '6WHITE', Person 'B'"
8977,8320,84,"GIRM_MUGU_20,hyrule:joncrall:/media/raid/work/GIRM_MUGU_20,,,,,0"
9573,5032,273,"NNP GZC Car '3RED', Person 'A'"
8802,3128,13,"NNP GZC Car '1WHITE', Person 'A'"
