NID,Count
273,54
158,22
234,21
74,18
56,15
23,15
105,13
124,12
157,11
100,10
60,10
146,10
166,9
135,9
172,9
112,9
49,9
132,8
27,8
42,8
156,8
63,8
72,7
30,7
184,7
161,7
241,6
189,6
29,6
9,6
13,6
46,6
8,6
92,5
53,5
90,5
22,5
4,5
131,5
47,5
138,5
79,5
19,5
148,5
210,5
38,5
55,5
73,4
17,4
68,4
14,4
51,4
48,4
31,4
128,4
78,4
28,4
127,4
18,4
167,4
54,4
83,3
80,3
86,3
238,3
1,3
24,3
117,3
20,3
98,3
45,2
2,2
97,2
81,2
87,2
7,2
11,2
25,2
16,2
33,2
253,2
144,2
39,2
70,2
212,2
57,2
246,2
82,2
101,2
32,2
69,2
225,2
104,2
43,2
77,2
71,2
84,2
91,2
200,2
58,2
3,2
247,2
191,2
5,2
15,2
64,2
115,2
114,2
52,2
89,1
168,1
99,1
237,1
76,1
118,1
102,1
113,1
103,1
151,1
165,1
197,1
198,1
181,1
208,1
133,1
205,1
169,1
164,1
206,1
209,1
199,1
207,1
119,1
95,1
108,1
202,1
259,1
123,1
136,1
96,1
183,1
204,1
107,1
182,1
121,1
196,1
109,1
193,1
153,1
192,1
110,1
